score_window,tp,fp,fn,precision,recall,f1
0.01,1,0,0,1.0,1.0,1.0
0.03,1,1,0,0.5,1.0,0.6666666666666666
0.05,1,1,0,0.5,1.0,0.6666666666666666
0.07,1,1,0,0.5,1.0,0.6666666666666666
0.09,1,1,0,0.5,1.0,0.6666666666666666
0.11,1,2,0,0.3333333333333333,1.0,0.5
0.13,1,2,0,0.3333333333333333,1.0,0.5
0.15,1,2,0,0.3333333333333333,1.0,0.5
0.17,1,2,0,0.3333333333333333,1.0,0.5
0.19,1,2,0,0.3333333333333333,1.0,0.5
0.21,1,2,0,0.3333333333333333,1.0,0.5
0.23,1,2,0,0.3333333333333333,1.0,0.5
0.25,1,2,0,0.3333333333333333,1.0,0.5
0.27,1,2,0,0.3333333333333333,1.0,0.5
0.29,1,2,0,0.3333333333333333,1.0,0.5
