score_window,tp,fp,fn,precision,recall,f1
0.01,1,0,3,1.0,0.25,0.4
0.03,1,0,3,1.0,0.25,0.4
0.05,1,0,3,1.0,0.25,0.4
0.07,1,0,3,1.0,0.25,0.4
0.09,1,0,3,1.0,0.25,0.4
0.11,1,0,3,1.0,0.25,0.4
0.13,1,0,3,1.0,0.25,0.4
0.15,1,0,3,1.0,0.25,0.4
0.17,1,0,3,1.0,0.25,0.4
0.19,1,1,3,0.5,0.25,0.3333333333333333
0.21,1,2,3,0.3333333333333333,0.25,0.28571428571428575
0.23,1,2,3,0.3333333333333333,0.25,0.28571428571428575
0.25,1,2,3,0.3333333333333333,0.25,0.28571428571428575
0.27,1,5,3,0.16666666666666666,0.25,0.2
0.29,1,11,3,0.08333333333333333,0.25,0.125
