score_window,tp,fp,fn,precision,recall,f1
0.01,1,0,3,1.0,0.25,0.4
0.03,1,0,3,1.0,0.25,0.4
0.05,1,0,3,1.0,0.25,0.4
0.07,1,0,3,1.0,0.25,0.4
0.09,1,0,3,1.0,0.25,0.4
0.11,1,0,3,1.0,0.25,0.4
0.13,1,0,3,1.0,0.25,0.4
0.15,1,1,3,0.5,0.25,0.3333333333333333
0.17,1,5,3,0.16666666666666666,0.25,0.2
0.19,1,19,3,0.05,0.25,0.08333333333333334
0.21,2,47,2,0.04081632653061224,0.5,0.07547169811320753
0.23,2,67,2,0.028985507246376812,0.5,0.0547945205479452
0.25,2,97,2,0.020202020202020204,0.5,0.03883495145631068
0.27,3,131,1,0.022388059701492536,0.75,0.04347826086956522
0.29,3,162,1,0.01818181818181818,0.75,0.03550295857988166
