score_window,tp,fp,fn,precision,recall,f1
0.01,1,0,3,1.0,0.25,0.4
0.03,1,1,3,0.5,0.25,0.3333333333333333
0.05,1,1,3,0.5,0.25,0.3333333333333333
0.07,1,1,3,0.5,0.25,0.3333333333333333
0.09,1,1,3,0.5,0.25,0.3333333333333333
0.11,1,1,3,0.5,0.25,0.3333333333333333
0.13,1,1,3,0.5,0.25,0.3333333333333333
0.15,1,1,3,0.5,0.25,0.3333333333333333
0.17,2,1,2,0.6666666666666666,0.5,0.5714285714285715
0.19,2,2,2,0.5,0.5,0.5
0.21,2,8,2,0.2,0.5,0.28571428571428575
0.23,2,13,2,0.13333333333333333,0.5,0.2105263157894737
0.25,2,24,2,0.07692307692307693,0.5,0.13333333333333336
0.27,3,36,1,0.07692307692307693,0.75,0.13953488372093026
0.29,3,51,1,0.05555555555555555,0.75,0.10344827586206895
