score_window,tp,fp,fn,precision,recall,f1
0.01,1,0,2,1.0,0.3333333333333333,0.5
0.03,1,1,2,0.5,0.3333333333333333,0.4
0.05,1,1,2,0.5,0.3333333333333333,0.4
0.07,1,1,2,0.5,0.3333333333333333,0.4
0.09,1,4,2,0.2,0.3333333333333333,0.25
0.11,2,5,1,0.2857142857142857,0.6666666666666666,0.4
0.13,2,5,1,0.2857142857142857,0.6666666666666666,0.4
0.15,2,5,1,0.2857142857142857,0.6666666666666666,0.4
0.17,3,5,0,0.375,1.0,0.5454545454545454
0.19,3,6,0,0.3333333333333333,1.0,0.5
0.21,3,7,0,0.3,1.0,0.4615384615384615
0.23,3,7,0,0.3,1.0,0.4615384615384615
0.25,3,8,0,0.2727272727272727,1.0,0.42857142857142855
0.27,3,10,0,0.23076923076923078,1.0,0.375
0.29,3,13,0,0.1875,1.0,0.3157894736842105
