score_window,tp,fp,fn,precision,recall,f1
0.01,1,0,1,1.0,0.5,0.6666666666666666
0.03,1,0,1,1.0,0.5,0.6666666666666666
0.05,1,1,1,0.5,0.5,0.5
0.07,1,2,1,0.3333333333333333,0.5,0.4
0.09,1,2,1,0.3333333333333333,0.5,0.4
0.11,1,2,1,0.3333333333333333,0.5,0.4
0.13,1,4,1,0.2,0.5,0.28571428571428575
0.15,1,5,1,0.16666666666666666,0.5,0.25
0.17,1,6,1,0.14285714285714285,0.5,0.22222222222222224
0.19,1,8,1,0.1111111111111111,0.5,0.1818181818181818
0.21,1,11,1,0.08333333333333333,0.5,0.14285714285714285
0.23,1,21,1,0.045454545454545456,0.5,0.08333333333333334
0.25,1,29,1,0.03333333333333333,0.5,0.0625
0.27,1,47,1,0.020833333333333332,0.5,0.039999999999999994
0.29,2,67,0,0.028985507246376812,1.0,0.05633802816901409
