score_window,tp,fp,fn,precision,recall,f1
0.01,1,0,2,1.0,0.3333333333333333,0.5
0.03,1,0,2,1.0,0.3333333333333333,0.5
0.05,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333
0.07,1,4,2,0.2,0.3333333333333333,0.25
0.09,1,12,2,0.07692307692307693,0.3333333333333333,0.125
0.11,1,26,2,0.037037037037037035,0.3333333333333333,0.06666666666666667
0.13,1,50,2,0.0196078431372549,0.3333333333333333,0.037037037037037035
0.15,1,86,2,0.011494252873563218,0.3333333333333333,0.022222222222222223
0.17,1,110,2,0.009009009009009009,0.3333333333333333,0.017543859649122806
0.19,1,148,2,0.006711409395973154,0.3333333333333333,0.013157894736842106
0.21,2,182,1,0.010869565217391304,0.6666666666666666,0.0213903743315508
0.23,3,208,0,0.014218009478672985,1.0,0.02803738317757009
0.25,3,228,0,0.012987012987012988,1.0,0.025641025641025647
0.27,3,246,0,0.012048192771084338,1.0,0.02380952380952381
0.29,3,257,0,0.011538461538461539,1.0,0.022813688212927757
