score_window,tp,fp,fn,precision,recall,f1
0.01,1,0,0,1.0,1.0,1.0
0.03,1,0,0,1.0,1.0,1.0
0.05,1,0,0,1.0,1.0,1.0
0.07,1,0,0,1.0,1.0,1.0
0.09,1,1,0,0.5,1.0,0.6666666666666666
0.11,1,1,0,0.5,1.0,0.6666666666666666
0.13,1,7,0,0.125,1.0,0.2222222222222222
0.15,1,12,0,0.07692307692307693,1.0,0.14285714285714288
0.17,1,20,0,0.047619047619047616,1.0,0.0909090909090909
0.19,1,30,0,0.03225806451612903,1.0,0.0625
0.21,1,46,0,0.02127659574468085,1.0,0.04166666666666667
0.23,1,62,0,0.015873015873015872,1.0,0.03125
0.25,1,80,0,0.012345679012345678,1.0,0.024390243902439022
0.27,1,106,0,0.009345794392523364,1.0,0.018518518518518517
0.29,1,131,0,0.007575757575757576,1.0,0.015037593984962407
