score_window,tp,fp,fn,precision,recall,f1
0.01,1,0,0,1.0,1.0,1.0
0.03,1,0,0,1.0,1.0,1.0
0.05,1,0,0,1.0,1.0,1.0
0.07,1,0,0,1.0,1.0,1.0
0.09,1,0,0,1.0,1.0,1.0
0.11,1,0,0,1.0,1.0,1.0
0.13,1,1,0,0.5,1.0,0.6666666666666666
0.15,1,1,0,0.5,1.0,0.6666666666666666
0.17,1,1,0,0.5,1.0,0.6666666666666666
0.19,1,3,0,0.25,1.0,0.4
0.21,1,4,0,0.2,1.0,0.33333333333333337
0.23,1,9,0,0.1,1.0,0.18181818181818182
0.25,1,15,0,0.0625,1.0,0.11764705882352941
0.27,1,22,0,0.043478260869565216,1.0,0.08333333333333333
0.29,1,37,0,0.02631578947368421,1.0,0.05128205128205127
